                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     73.40% |     74.08% |     69.84% |     70.89% |     70.96% |     69.88% |     72.80% |     72.26% |     68.27% |     66.43% |     65.22% |     64.54% |     67.19% |     65.69% |     64.00% |     66.00%
    mpki                             |       1.39 |       1.56 |       1.26 |       1.39 |       1.42 |       1.38 |       1.36 |       1.34 |       1.36 |       1.38 |       1.19 |       1.21 |       1.34 |       1.38 |       1.24 |       1.29
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2175 |       2446 |       1989 |       2210 |       2228 |       2184 |       2133 |       2123 |       2330 |       2385 |       2094 |       2129 |       2305 |       2368 |       2170 |       2259
    num cache misses                 |       1382 |       1582 |       1241 |       1342 |       1376 |       1347 |       1290 |       1307 |       1316 |       1270 |       1125 |       1141 |       1210 |       1296 |       1191 |       1237
    miss rate                        |     63.54% |     64.68% |     62.39% |     60.72% |     61.76% |     61.68% |     60.48% |     61.56% |     56.48% |     53.25% |     53.72% |     53.59% |     52.49% |     54.73% |     54.88% |     54.76%
    mpki                             |       0.99 |       1.13 |       0.89 |       0.96 |       0.99 |       0.97 |       0.93 |       0.94 |       0.94 |       0.91 |       0.81 |       0.82 |       0.87 |       0.93 |       0.85 |       0.89
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        372 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     223.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     170.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |         27 |          6 |         23 |          7 |          5 |          7 |          4 |         11 |          5 |          5 |          6 |          8 |         16 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        659 |        670 |        605 |        648 |        632 |        644 |        610 |        615 |        693 |        674 |        618 |        612 |        639 |        654 |        620 |        656
